title,rate
covid 19 fight,0
antitelami_na covid,0
19 budut_poluchat,1
poluchat_stimuliruiushchie vyplaty,1
krovi_antitelami na,1
budut_poluchat stimuliruiushchie,1
donory_krovi antitelami,1
gorodskuiu_novinku donory,1
novinku_donory krovi,1
penyebaran covid 19,0
long_term care,1
covid 19 positive,0
covid 19 situation,0
covid 19 tests,0
confirmed covid 19,0
health care_workers,1
positif covid 19,0
covid 19 amp,0
covid 19 treatment,0
first patients_injected,1
contre covid 19,0
patients_injected uk,1
free treatment covid,0
us_sg za,1
nz us_sg,1
au_nz us,1
sg_za horseracing,1
markets_au nz,1
horseracing_greyhounds live,1
za_horseracing greyhounds,1
greyhounds_live staysafe,1
stay_home stay,1
covid 19 impact,0
due coronavirus pandemic,1
espana_mediados febrero,1
coronavirus circulaba_espana,1
president_donald trump,1
mortes covid 19,0
trump suggests_injecting,1
com covid 19,0
president united_states,1
aus 23rd apr,1
new cases coronavirus,1
pada_masa pandemi,1
covid 19 may,0
dies covid 19,0
tindak_kriminal pada,1
kriminal_pada masa,1
uk vaccine_trial,1
suggests_injecting disinfectant,1
cure covid 19,0
muertes covid 19,0
terhadap_tindak kriminal,1
kepolisian_terhadap tindak,1
tegas_kepolisian terhadap,1
tindakan_tegas kepolisian,1
iii_apresasi tindakan,1
apresasi_tindakan tegas,1
injected_uk vaccine,1
us covid 19,0
coronavirus first patients,1
circulaba_espana mediados,1
jueves_23 abril,1
sugiere coronavirus circulaba,1
covid 19 covert,0
society_did know,1
towards_future cashless,1
heading_towards future,1
pandemic task_force,1
cashless_society did,1
id_heading towards,1
covert_id heading,1
future_cashless society,1
19 covert_id,1
pillow_letslovesuho trump,1
covid self_portrait covid19,0
letslovesuho trump suho,1
bizbizeyeteriz covid self_portrait,0
covid 19 could,0
get covid 19,0
penanganan covid 19,0
made_pillow letslovesuho,1
covid 19 infection,0
covid 19 case,0
confirmed cases covid19,0
trump covid 19,0
pet_cats new,1
article amp_reuters,1
covid 19 spread,0
home stay_safe,1
test covid 19,0
nuevos casos coronavirus,1
number covid 19,0
know_bible spoke,1
time covid 19,0
analisis genetico_sugiere,1
last_24 hours,1
genetico_sugiere coronavirus,1
positivo covid 19,0
covid 19 recovery,0
pacientes covid 19,0
coronavirus pandemic via,1
go_back work,1
wabah covid 19,0
komisi_iii apresasi,1
raisons_lien avec,1
invoquer_des raisons,1
matos_partout avec,1
des_raisons lien,1
comment peut_invoquer,1
insuffisance_du matos,1
contagions_aucun protocole,1
scientifiques_attente tests,1
attente_tests alors,1
soins_est respecte,1
par_insuffisance du,1
alors_par insuffisance,1
du_matos partout,1
tests_alors par,1
consequences_contagions aucun,1
protocole_soins est,1
leurs_consequences contagions,1
aucun_protocole soins,1
avec_protocoles scientifiques,1
peut_invoquer des,1
partout_avec leurs,1
lien_avec protocoles,1
protocoles_scientifiques attente,1
avec_leurs consequences,1
respecte_etes vous,1
fou covid19 chloroazythro,0
est_respecte etes,1
etes_vous fou,1
elizabeth_warren brother,1
vous_fou covid19,0
covid 19 restrictions,0
exclusive coronavirus coverage,1
epoch_times app,1
484_billion coronavirus,1
know_jesus spoke,1
coronavirus coverage_daily,1
coverage_daily updates,1
times_app see,1
see_exclusive coronavirus,1
app_see exclusive,1
second_wave coronavirus,1
infected covid 19,0
di_tengah pandemi,1
society_know bible,1
covid 19 emergency,0
covid 19 covid19,0
covid 19 new,0
dying covid 19,0
society_know jesus,1
covid 19 symptoms,0
tested positive covid19,0
au covid 19,0
mos_hfw govt,1
amarprasadreddy_media advisor,1
coronavirus relief_package,1
using_uv light,1
bloodontrumpshands_bloodontrumpshands bloodontrumpshands,1
coronavirus new york,1
affected covid 19,0
help fight coronavirus,1
new cases covid19,0
former labradoodle_breeder,1
amid coronavirus outbreak,1
brothers_amp sisters,1
coronavirus via_youtube,1
disbelief_world missing,1
world missing_american,1
crise_du coronavirus,1
contagios covid 19,0
counter trump suggestion,1
twitter_web client,1
sadness disbelief_world,1
handling covid 19,0
covid 19 help,0
missing_american leadership,1
officials_counter trump,1
keep_praying amp,1
person_shielding us,1
muslims_brothers amp,1
side keep_praying,1
support covid 19,0
basics_my message,1
develop us better,1
better person_shielding,1
evil_side keep,1
us better person,1
praying_amp fasting,1
covid19 evil_side,0
dr_birx reaction,1
28_days make,1
blessing_peaceful month,1
focus_basics my,1
month need focus,1
recall_muslims brothers,1
us covid19 evil,0
need focus_basics,1
peaceful_month need,1
shielding us covid19,0
message_recall muslims,1
my_message recall,1
president trump coronavirus,1
white_house coronavirus,1
people covid 19,0
em 24_horas,1
get back_work,1
small_businesses hospitals,1
new york largest,1
proekte_aktivnyi grazhdanin,1
covid 19 national,0
vyplaty_proekte aktivnyi,1
stimuliruiushchie_vyplaty proekte,1
new cases covid,0
first covid 19,0
covid 19 world,0
cases covid19 reported,0
okhw_d19 covid19,0
muertos covid 19,0
tengah_pandemi covid,0
two pet_cats,1
die covid 19,0
000 covid 19,0
positivos covid 19,0
update covid 19,0
2020 04 23,1
study using_uv,1
at_home orders,1
deaths covid 19,0
combat covid 19,0
coronavirus relief_bill,1
covid 19 infections,0
president trump asks,1
covid 19 research,0
trump coronavirus task,1
cashless_society hear,1
2019 covid 19,0
absolutely_crazy things,1
battle covid 19,0
patients covid 19,0
frente covid 19,0
current covid 19,0
covid 19 dengan,0
dr_anthony fauci,1
lead pandemic task,1
dies coronavirus oklahoma,1
injecting_disinfectant treat,1
since covid 19,0
tests positive coronavirus,1
us long time,1
covid 19 brasil,0
billion coronavirus relief,1
clean_lungs via,1
labradoodle_breeder tapped,1
third world country,1
related covid 19,0
vacuna covid 19,0
otsenil_gorodskuiu novinku,1
coronavirus small_business,1
via namo_app,1
breeder_tapped lead,1
lungs_via nbcnews,1
covid 19 updates,0
coronavirus disease_2019,1
factory_28 days,1
like covid 19,0
otsenila_gorodskuiu novinku,1
sen elizabeth_warren,1
medidas economicas_sociales,1
enfrenta_pais coronavirus,1
tapped_lead pandemic,1
contingencia_enfrenta pais,1
covid 19 et,0
killing coronavirus patients,1
confirmados covid 19,0
live president trump,1
venezolanos_contingencia enfrenta,1
economicas_sociales anunciadas,1
tested covid 19,0
gobierno_protegiendo venezolanos,1
warren_brother dies,1
protegiendo_venezolanos contingencia,1
anunciadas_gobierno protegiendo,1
jangan coba coba,1
sociales_anunciadas gobierno,1
slow_spread covid19,0
ini termasuk_begal,1
lived factory_28,1
cats test positive,1
termasuk_begal dan,1
dan_penjahat jalanan,1
500 respirateurs_produits,1
begal_dan penjahat,1
underlying health issue,1
thursday_april 23,1
pets test positive,1
trump disregards_science,1
contagio covid 19,0
human_rights crisis,1
500_billion coronavirus,1
pruebas covid 19,0
covid 19 antibody,0
like third world,1
risk covid 19,0
criticos_0total testeados,1
help slow_spread,1
covid19 okhw_d19,0
komisi_iii dpr,1
must_read article,1
coronavirus juntos posible,1
pais coronavirus juntos,1
patients_suffered underlying,1
casos_confirmados covid,0
lucha covid 19,0
house_passes 484b,1
suffered_underlying health,1
iii_dpr ri,1
19 patients bengalfightscorona,1
pillow trump suho,1
insecurehbo covid cdtv,0
total confirmed cases,1
bizbizeyeteriz covid covid19,0
oldest_brother died,1
passes_484b coronavirus,1
made_pillow trump,1
passes_484 billion,1
disregards_science chaos,1
science_chaos overtakes,1
covid 19 complications,0
did absolutely_crazy,1
chaos_overtakes coronavirus,1
108 new cases,1
ny coronavirus patients,1
champion team needs,1
case covid 19,0
trump coronavirus response,1
covid 19 data,0
covid 19 drug,0
produits_pour rien,1
coronavirus patients_suffered,1
terdampak covid 19,0
link see details,1
message covid 19,0
nuevos casos covid,0
overtakes coronavirus response,1
help covid 19,0
health issue_study,1
ce est_pas,1
19 via_youtube,1
four times official,1
china coronavirus cases,1
covid 19 dan,0
coronavirus contact_tracing,1
let_us know,1
nearly ny coronavirus,1
flattened coronavirus curve,1
covid 19 news,0
covid 19 mexico,0
task_force hold,1
covid 19 pais,0
covid 19 quarantine,0
increase covid 19,0
direction_cashless society,1
coronavirus social_distancing,1
ketua komisi_iii,1
potential covid 19,0
wave covid 19,0
sa covid 19,0
word story covid19,0
covid 19 na,0
end covid 19,0
home covid 19,0
largest health system,1
issue_study finds,1
respirateurs_produits pour,1
dpr_ri herman,1
ri_herman hery,1
stay_home order,1
confirmed cases covid,0
using covid 19,0
global covid 19,0
hunger_kill us,1
april 22 2020,1
strokes young_adults,1
rapper fred godson,1
confirmed coronavirus cases,1
amidst covid 19,0
contingencia covid 19,0
ramadan mubarak_blessing,1
house_passes 484,1
handle covid 19,0
coronavirus us unemployment,1
ingenuity covid 19,0
make millions_pounds,1
fallecidos covid 19,0
death_toll rises,1
heat_light disinfectants,1
first_known coronavirus,1
mubarak_blessing peaceful,1
times official_figure,1
feedtheneedyurs amarprasadreddy_media,1
god help_us,1
know covid 19,0
days make millions,1
expertise_ingenuity covid,0
contributes_expertise ingenuity,1
nasa contributes_expertise,1
coronavirus hunger_kill,1
injecting_disinfectant body,1
19 help hub,1
millions_pounds raw,1
impacts covid 19,0
disinfectants_could coronavirus,1
instead coronavirus hunger,1
light_inside body,1
age_cashless society,1
contributions covid 19,0
advisor_mos hfw,1
suggestion_heat light,1
digial_age cashless,1
latest covid 19,0
covid 19 pandemic,0
covid 19 cases,0
href_rel nofollow,1
true_href rel,1
covid 19 crisis,0
rel_nofollow twitter,1
coronavirus covid 19,0
covid 19 patients,0
trump suggests_injecting,1
suggests_injecting disinfectant,1
bbc_news coronavirus,1
due covid 19,0
nofollow_twitter web,1
covid 19 via,0
twitter_web app,1
injecting_disinfectant treatment,1
fight covid 19,0
amid covid 19,0
treat covid 19,0
casos covid 19,0
covid 19 outbreak,0
covid 19 lockdown,0
covid 19 vaccine,0
bleach coronavirus cure,1
coronavirus death_toll,1
coronavirus cure_wrote,1
covid 19 response,0
covid 19 relief,0
new covid 19,0
covid 19 deaths,0
peddling_bleach coronavirus,1
cure_wrote trump,1
group_peddling bleach,1
leader_group peddling,1
positive covid 19,0
wrote trump week,1
covid 19 death,0
towards_cashless society,1
revealed_leader group,1
24 04_2020,1
new york_times,1
covid 19 coronavirus,0
outcry trump suggests,1
pandemia covid 19,0
covid 19 testing,0
coronavirus outcry trump,1
cure covid 19,0
covid 19 virus,0
du covid 19,0
covid 19 di,0
sign_petition via,1
coronavirus task_force,1
cases covid 19,0
spread covid 19,0
cashless_society know,1
amid coronavirus pandemic,1
covid 19 update,0
scientific_advisory group,1
president united_states,1
treatment covid 19,0
response covid 19,0
president_donald trump,1
cashless_society did,1
april 24 2020,1
petition via change,1
da covid 19,0
secret_scientific advisory,1
pandemi covid 19,0
advisory_group covid,0
cummings_secret scientific,1
group covid 19,0
impact covid 19,0
coronavirus live_updates,1
covid 19 treatment,0
covid 19 sign,0
disinfectant_beat coronavirus,1
19 sign_petition,1
suggests_injection disinfectant,1
nofollow_twitter android,1
injection_disinfectant beat,1
covid 19 test,0
stay_at home,1
covid 19 ft,0
contre covid 19,0
ultimas_24 horas,1
beat coronavirus clean,1
trump suggests_injection,1
prices covid 19,0
give_subscribers payment,1
subscribers_payment break,1
dstv_give subscribers,1
decrease_prices covid,0
break_decrease prices,1
payment_break decrease,1
covid 19 via,0
dstv_dstv give,1
coronavirus clean_lungs,1
heat_light disinfectants,1
crisis covid 19,0
new coronavirus cases,1
could coronavirus treatments,1
disinfectants_could coronavirus,1
suggestion_heat light,1
light_disinfectants could,1
covid 19 covert,0
19 covert_id,1
test positive coronavirus,1
covid 19 briefing,0
trump suggestion_heat,1
counter trump suggestion,1
officials_counter trump,1
died covid 19,0
know_jesus spoke,1
24 april 2020,1
passes_50 000,1
death_toll passes,1
news coronavirus outcry,1
24 abril_2020,1
pacientes covid 19,0
virus covid 19,0
commitment_humility cricket,1
defeat coronavirus commitment,1
team india billion,1
love_sachin rt_commitment,1
billion_players easily,1
now_team india,1
players_easily defeat,1
cricket_now team,1
sachin_rt commitment_humility,1
india billion_players,1
humility_cricket now,1
happybirthdaysachinwe_love sachin_rt,1
coronavirus commitment_humility,1
easily_defeat coronavirus,1
commitment_humility letswinthebattleurs,1
mos_hfw govt,1
humility_letswinthebattleurs amarprasadreddy,1
letswinthebattleurs_amarprasadreddy media,1
media_advisor mos,1
amarprasadreddy_media advisor,1
advisor_mos hfw,1
experts_denounce trump,1
heading_towards future,1
towards_future cashless,1
society_did know,1
covert_id heading,1
id_heading towards,1
future_cashless society,1
medical_experts denounce,1
covid 19 tests,0
post covid 19,0
gt_gt gt,1
disinfectant fight coronavirus,1
toll_passes 50,1
using_uv light,1
disinfectant_cure coronavirus,1
covid 19 positive,0
coronavirus trump suggests,1
new york_city,1
warned_last year,1
possible treatment covid,0
kill covid 19,0
ministers_warned last,1
covid 19 related,0
injecting_disinfectant fight,1
covid 19 patient,0
erickson covid 19,0
uk_ministers warned,1
positif covid 19,0
confirmed covid 19,0
last year_risks,1
year_risks coronavirus,1
na covid 19,0
society_know jesus,1
coronavirus disinfectant_firm,1
covid 19 case,0
muertes covid 19,0
know_bible spoke,1
injecting_disinfectant treat,1
covid 19 situation,0
disinfectants_possible treatment,1
tested positive covid,0
dr_erickson covid,0
trump covid 19,0
denounce trump latest,1
risks coronavirus pandemic,1
covid 19 amp,0
50 000 americans,1
die covid 19,0
inject_disinfectants possible,1
dettol_manufacturer tells,1
customers_inject disinfectants,1
manufacturer_tells customers,1
tells_customers inject,1
dr_birx reaction,1
disinfectant covid 19,0
trump latest_dangerous,1
new york state,1
lysol dettol_manufacturer,1
society_know bible,1
revealed uk_ministers,1
covid 19 could,0
tested positive coronavirus,1
body_injecting disinfectant,1
light_human body,1
get covid 19,0
covid 19 em,0
health care_workers,1
uv_light human,1
stay_home stay,1
com covid 19,0
covid 19 cure,0
test positive covid,0
50 000 deaths,1
removes_200 deaths,1
covid 19 spread,0
fighting covid 19,0
coronavirus count_questions,1
human_body injecting,1
count_questions mount,1
time covid 19,0
mount_reporting process,1
viernes 24 abril,1
confirmed cases covid19,0
questions_mount reporting,1
study using_uv,1
covid 19 impact,0
president trump asks,1
dominic_cummings secret,1
disinfectant kill coronavirus,1
us covid 19,0
injecting_disinfectant body,1
science_advisor study,1
trump asks_science,1
asks_science advisor,1
advisor_study using,1
nuevos casos covid,0
last_24 hours,1
new cases coronavirus,1
at_home order,1
amid coronavirus crisis,1
trump idea_injecting,1
reaction president trump,1
penyebaran covid 19,0
birx_reaction president,1
pa removes_200,1
coronavirus relief_bill,1
battle covid 19,0
covid 19 restrictions,0
state coronavirus count,1
people inject disinfectant,1
covid 19 infection,0
revealed cummings_secret,1
cashless_society hear,1
due coronavirus pandemic,1
revealed_dominic cummings,1
deaths state coronavirus,1
us death_toll,1
world health_organization,1
must_read article,1
200 deaths state,1
new cases covid,0
reporting_process accuracy,1
suggestion_treat covid,0
home stay_safe,1
stop_spread covid19,0
idea_injecting disinfectant,1
latest_dangerous suggestion,1
nuevos casos coronavirus,1
combat covid 19,0
dangerous_suggestion treat,1
covid 19 ini,0
penanganan covid 19,0
covid 19 may,0
covid 19 updates,0
long_term care,1
disinfectant_treat covid,0
msnbc nicolle wallace,1
19 death_toll,1
covid 19 recovery,0
number covid 19,0
people covid 19,0
epoch_times app,1
exclusive coronavirus coverage,1
positivo covid 19,0
covid 19 emergency,0
anteponete il denaro,1
coronavirus coverage_daily,1
see_exclusive coronavirus,1
times_app see,1
app_see exclusive,1
light_inside body,1
coverage_daily updates,1
covid 19 education,0
au covid 19,0
sick covid 19,0
daniel_lewis3 here_dr,1
here_dr birx,1
briefing via_youtube,1
education_front defeated,1
fight coronavirus see,1
fought covid 19,0
first patients_injected,1
article amp_reuters,1
cases covid19 reported,0
patients_injected uk,1
pressing_towards cashless,1
help covid 19,0
death_toll tops,1
support covid 19,0
2020 04 24,1
affected covid 19,0
clean_lungs via,1
new cases covid19,0
moving_towards cashless,1
pour_lutter contre,1
frente covid 19,0
update covid 19,0
covid 19 antibody,0
484_billion coronavirus,1
americans_dead coronavirus,1
twitter_web client,1
lungs_via nbcnews,1
test covid 19,0
like covid 19,0
help save_lives,1
positivos covid 19,0
covid 19 drug,0
dies covid 19,0
suggested injecting_disinfectant,1
white_house coronavirus,1
coronavirus via_youtube,1
deaths covid 19,0
19 education_front,1
covid 19 budut,0
society covid 19,0
dangerous_cures coronavirus,1
us coronavirus death,1
covid 19 world,0
covid 19 dying,0
covid 19 fight,0
donory_krovi antitelami,1
krovi_antitelami na,1
society_did you,1
budut_poluchat stimuliruiushchie,1
antitelami_na covid,0
19 budut_poluchat,1
did_know jesus,1
covid 19 symptoms,0
direction_cashless society,1
sunlight_cure coronavirus,1
injecting_disinfectant cure,1
fifty thousand_americans,1
poluchat_stimuliruiushchie vyplaty,1
gorodskuiu_novinku donory,1
novinku_donory krovi,1
society_physical cash,1
cashless_society covid,0
world_leaders launch,1
thousand_americans dead,1
coronavirus relief_package,1
bbc_news mundo,1
alone white_house,1
cashless_society coronavirus,1
particles_air pollution,1
digial_age cashless,1
causa covid 19,0
age_cashless society,1
new markets_au,1
potential covid 19,0
jesus_spoke would,1
trump sugiere_tratar,1
covid 19 covid19,0
23_04 2020,1
detected_particles air,1
live staysafe coronavirus,1
patients covid 19,0
potential coronavirus treatment,1
spoke_book revelation,1
silver lining coronavirus,1
home alone white,1
114 new cases,1
uv_light treatment,1
people barely_sick,1
coronavirus inyeccion_desinfectante,1
muertos covid 19,0
trump comments_disinfectant,1
contagios covid 19,0
desinfectante_luz solar,1
australia new_zealand,1
crise_du coronavirus,1
bible_spoke would,1
contro_il coronavirus,1
tops_50 000,1
billion coronavirus relief,1
coronavirus detected_particles,1
sachin_rt happybirthdaysachinwe_love,1
coronavirus disease_2019,1
injecting people disinfectant,1
barely_sick covid,0
injected kill coronavirus,1
disinfectant_sunlight cure,1
various relief_options,1
president_refuses mourn,1
treating covid 19,0
way something like,1
aus 24th apr,1
confirmados covid 19,0
tested positive covid19,0
taxes amp finances,1
options_taxes amp,1
help fight coronavirus,1
cure coronavirus said,1
relief_options taxes,1
2019 covid 19,0
sugiere_tratar coronavirus,1
april_23 2020,1
comer contingencia coronavirus,1
issues_warning trump,1
erupt trump comments,1
000 covid 19,0
comments_disinfectant sunlight,1
total confirmed cases,1
did_know bible,1
covid 19 pais,0
injection_inside almost,1
inside_almost cleaning,1
bleach cure coronavirus,1
50 000 dead,1
19 briefing via,1
middle_aged people,1
video via_gatewaypundit,1
19 dying_strokes,1
pruebas covid 19,0
dying covid 19,0
confirmed coronavirus cases,1
manu_foraprior david,1
david_mike lindell,1
cdtv covid 19 prior,0
prior_jorge babu,1
suho_bizbizeyeteriz covid,0
covid cdtv covid 19,0
covid 19 help,0
babu_manu foraprior,1
foraprior_david mike,1
mike_lindell made,1
covid 19 prior_jorge,0
jorge_babu manu,1
criticos_0total testeados,1
trump suho_bizbizeyeteriz,1
uk vaccine_trial,1
dead coronavirus president,1
casos_confirmados covid,0
hear_jesus spoke,1
let_us know,1
injected_uk vaccine,1
872 casos_confirmados,1
covid19 around_world,0
coronavirus president_refuses,1
vacuna covid 19,0
covid 19 drugs,0
latest covid 19,0
people inject lysol,1
aged people barely,1
via namo_app,1
something like injection,1
media erupt trump,1
coronavirus outbreak_guardian,1
disinfectants_could injected,1
new covid19 cases,0
disinfectant_firm issues,1
holy month ramadan,1
did_you know,1
lindell_made pillow,1
driving_towards cashless,1
end covid 19,0
risk covid 19,0
cats new york,1
covid 19 research,0
firm_issues warning,1
young_middle aged,1
infected covid 19,0
covid 19 et,0
preventable_diseases vaccineswork,1
covid 19 mexico,0
people tested positive,1
current covid 19,0
tratar coronavirus inyeccion,1
around_world please,1
coronavirus first patients,1
toll_tops 50,1
roll back progress,1
diseases_vaccineswork oneworld,1
save_lives ever,1
ever_roll back,1
home covid 19,0
ending_preventable diseases,1
lives ever_roll,1
back progress_ending,1
inyeccion_desinfectante luz,1
progress_ending preventable,1
19 via_youtube,1
gavi_help save,1
combatir covid 19,0
borisjohnson amp_annietrev,1
peddling_dangerous cures,1
hear_bible spoke,1
support_gavi help,1
working stop_spread,1
spread covid19 around,0
please support_gavi,1
world please support,1
37 covid19 coronavirus,0
thank_working stop,1
warning trump comments,1
disinfectant_treat coronavirus,1
world news guardian,1
covid 19 news,0
coronavirus pandemic via,1
wabah covid 19,0
white_house briefing,1
annietrev_thank working,1
50 000 people,1
amp_annietrev thank,1
casos positivos coronavirus,1
friday april 24,1
donald_trump suggested,1
disinfectants kill coronavirus,1
19 death_rates,1
tested covid 19,0
story daniel_lewis3 here,1
get_rid coronavirus,1
world covid 19,0
disinfectant_firm warns,1
salesman_peddling dangerous,1
experts rip trump,1
nears_50 000,1
stop covid 19,0
kill coronavirus inside,1
markets_au us,1
news coronavirus trump,1
us horseracing_live,1
ever salesman_peddling,1
horseracing_live staysafe,1
au us horseracing,1
mortes covid 19,0
block coronavirus aid,1
rip trump idea,1
like injection_inside,1
heading_towards cashless,1
covid 19 pandemic,0
covid 19 cases,0
covid 19 patients,0
href_rel nofollow,1
true_href rel,1
coronavirus covid 19,0
rel_nofollow twitter,1
covid 19 crisis,0
bbc_news coronavirus,1
due covid 19,0
covid 19 lockdown,0
covid 19 via,0
covid 19 deaths,0
coronavirus death_toll,1
nofollow_twitter web,1
casos covid 19,0
fight covid 19,0
new covid 19,0
covid 19 coronavirus,0
amid covid 19,0
positive covid 19,0
twitter_web app,1
towards_cashless society,1
covid 19 vaccine,0
covid 19 outbreak,0
covid 19 death,0
bleach coronavirus cure,1
recovered covid 19,0
coronavirus cure_wrote,1
cure_wrote trump,1
covid 19 dying,0
leader_group peddling,1
peddling_bleach coronavirus,1
group_peddling bleach,1
covid 19 di,0
cases covid 19,0
new york_times,1
wrote trump week,1
new coronavirus cases,1
19 dying_strokes,1
covid 19 briefing,0
covid 19 response,0
cashless_society know,1
revealed_leader group,1
spread covid 19,0
covid 19 relief,0
covid 19 virus,0
strokes_washington post,1
dying_strokes washington,1
stay_at home,1
erickson covid 19,0
25 04_2020,1
covid 19 testing,0
nofollow_twitter android,1
da covid 19,0
dr_erickson covid,0
ultimas_24 horas,1
managing coronavirus crisis,1
successful_managing coronavirus,1
du covid 19,0
cashless_society did,1
covid 19 test,0
kim_jong un,1
april_25 2020,1
pandemia covid 19,0
signed_petition calling,1
death_toll passes,1
coronavirus live_updates,1
amid coronavirus pandemic,1
sick covid 19,0
treat covid 19,0
pandemi covid 19,0
government coronavirus briefings,1
covid 19 update,0
british_sign language,1
sign_language interpreter,1
daily government coronavirus,1
provide_british sign,1
interpreter_daily government,1
govuk_provide british,1
coronavirus task_force,1
language_interpreter daily,1
calling_govuk provide,1
petition_calling govuk,1
prevents_second infection,1
ingesting_household cleaners,1
coronavirus briefings via,1
briefings via_38 degrees,1
barely_sick covid,0
young_middle aged,1
people barely_sick,1
covid 19 covert,0
19 covert_id,1
middle_aged people,1
know_jesus spoke,1
household_cleaners following,1
new yorkers_ingesting,1
died covid 19,0
aged people barely,1
spike new yorkers,1
yorkers_ingesting household,1
cleaners_following trump,1
controversial coronavirus comments,1
uv_light treatment,1
trump controversial coronavirus,1
following trump controversial,1
coronavirus dying_strokes,1
people coronavirus dying,1
young_people coronavirus,1
future_cashless society,1
id_heading towards,1
covert_id heading,1
towards_future cashless,1
society_did know,1
heading_towards future,1
25_abril 2020,1
world health_organization,1
covid 19 via,0
response covid 19,0
25 april 2020,1
new cases coronavirus,1
crisis covid 19,0
positif covid 19,0
post covid 19,0
sign_petition via,1
cure covid 19,0
evidence_recovered covid,0
muertes covid 19,0
poison_control center,1
scientific_advisory group,1
gt_gt gt,1
light_treatment coronavirus,1
new york_city,1
global coronavirus death,1
treatment coronavirus patients,1
contre covid 19,0
society_know jesus,1
know_bible spoke,1
penyebaran covid 19,0
bio_tech firm,1
society_know bible,1
tested positive coronavirus,1
covid 19 positive,0
confirmed cases covid19,0
pacientes covid 19,0
covid 19 case,0
last_24 hours,1
impact covid 19,0
covid 19 numbers,0
new york daily,1
confirmed covid 19,0
briefing via_youtube,1
virus covid 19,0
york daily news,1
trump covid 19,0
epoch_times app,1
female_leaders seem,1
exclusive coronavirus coverage,1
leaders_seem successful,1
seem_successful managing,1
nuevos casos coronavirus,1
see_exclusive coronavirus,1
app_see exclusive,1
times_app see,1
coronavirus coverage_daily,1
tested positive covid,0
19 briefing via,1
coverage_daily updates,1
trump coronavirus disinfectant,1
sabado_25 abril,1
evidence recovery_prevents,1
trump needs_resign,1
recovery_prevents second,1
tech_firm video,1
says evidence recovery,1
global death_toll,1
us death_toll,1
test positive coronavirus,1
people covid 19,0
19 death_toll,1
donald_trump needs,1
die covid 19,0
people 30s_40s,1
na covid 19,0
covid 19 situation,0
evidence people recovered,1
positivo covid 19,0
resign_handling coronavirus,1
covid 19 amp,0
needs_resign handling,1
home covid 19,0
stay_home stay,1
covid 19 patient,0
second infection coronavirus,1
get covid 19,0
loud_say clear,1
covid 19 tests,0
nyc_residents ingesting,1
ingesting_householder cleaners,1
residents_ingesting householder,1
covid 19 related,0
say loud_say,1
clear_donald trump,1
cashless_society hear,1
passes_50 000,1
